  first_name      last_name     movie_id     rating  
   Anastasia      Tocilescu        5           3     
    Vasile         Dascalu         13          4     
     Vlad         Dobrescu         11          5     
     Vlad         Stanescu         14          3     
      Ion         Bengescu         6           5     
    Andrei          Patru          20          3     
      Dan          Voinea          16          3     
    Nichita       Stanescu         17          5     
     Anton         Dinescu         15          4     
     Aurel         Diaconu         22          6     
    Vasile         Enache          25          3     
   Floricel         Coman          30          3     
     Aurel           Man           29          6     
    Lucian          Blaga          26          5     
     Alex         Tocilescu        28          4     
     Petru          Ivan           24          4     
