    last_name       movie_id     rating  
    Bengescu           1           9     
    Tocilescu          5           3     
      Blaga            3           1     
     Ionescu           2           2     
    Bengescu           8           1     
     Dascalu           13          4     
     Arghezi           12          2     
    Dobrescu           11          5     
    Georgescu          9           7     
    Stanescu           14          3     
      Calin            7           2     
    Bengescu           6           5     
     Flondor           10          10    
  Papagheorghe         4           8     
      Patru            20          3     
     Voinea            16          3     
    Stanescu           17          5     
     Stanciu           18          2     
     Stanciu           19          8     
     Dinescu           15          4     
     Diaconu           22          6     
     Enache            25          3     
      Coman            30          3     
       Man             29          6     
    Stanescu           21          10    
      Blaga            26          5     
    Tocilescu          28          4     
      Ivan             24          4     
      Calin            23          2     
  Papagheorghe         27          10    
