  first_name       last_name       movie_id     rating  
     Vlad           Bengescu          1           9     
   Anastasia       Tocilescu          5           3     
    Andrei           Blaga            3           1     
      Ion           Ionescu           2           2     
      Ion           Bengescu          8           1     
    Vasile          Dascalu           13          4     
     Tudor          Arghezi           12          2     
     Vlad           Dobrescu          11          5     
      Ion          Georgescu          9           7     
     Vlad           Stanescu          14          3     
     Petru           Calin            7           2     
      Ion           Bengescu          6           5     
     Vlad           Flondor           10          10    
   Anastasia      Papagheorghe        4           8     
    Andrei           Patru            20          3     
      Dan            Voinea           16          3     
    Nichita         Stanescu          17          5     
      Ion           Stanciu           18          2     
     Vlad           Stanciu           19          8     
     Anton          Dinescu           15          4     
     Aurel          Diaconu           22          6     
    Vasile           Enache           25          3     
   Floricel          Coman            30          3     
     Aurel            Man             29          6     
     Paul           Stanescu          21          10    
    Lucian           Blaga            26          5     
     Alex          Tocilescu          28          4     
     Petru            Ivan            24          4     
    Dumitru          Calin            23          2     
    Andrei        Papagheorghe        27          10    
